"","YEAR","TEAM","SEED","KADJ_O","KADJ_D","BARTHAG","WIN_","FTR","TOV_","TOV_D","OREB_","DREB_","X3PT_","X3PT_D","AST_","EXP","ELITE_SOS","WINS","POWER","PATH"
"420",2014,"Providence",11,114.031,99.2945,0.815,64.70588,41.9,17.3,16.4,35.4,70,35,32.9,56.5,2.052,27.234,0,62.9,74.3
"421",2014,"Pittsburgh",9,116.412,94.8924,0.923,73.52941,46,16.5,19.2,37.7,71.2,35.6,33.1,62.8,1.508,27.298,1,72.8,71.5
"422",2014,"Oregon",7,118.258,99.4749,0.854,71.875,42.9,16.3,19.3,32.8,68.2,39.2,32.3,52.7,2.211,25.655,1,71.8,69.8
"423",2014,"Oklahoma St.",9,115.772,94.2393,0.917,63.63636,49.4,14.7,20,27.7,67.8,36.8,32.2,51.6,1.626,28.791,0,78.2,80.7
"424",2014,"Oklahoma",5,117.886,99.4806,0.877,71.875,40,15.8,17.7,32.3,69.4,37.8,34,53.1,1.251,29.271,0,68.9,69.9
"425",2014,"Ohio St.",6,109.354,87.6797,0.92,73.52941,42.8,17.1,22,30,70,32.6,29.4,49.9,2.15,28.439,0,78.4,70
"426",2014,"North Dakota St.",12,116.004,103.42,0.738,78.57143,41.7,15.5,17.4,31.4,72.6,34.9,37.5,43.3,2.313,14.3,1,61.3,71.5
"427",2014,"North Carolina St.",12,113.205,102.658,0.776,61.76471,36.4,15.9,17.5,34.7,63.8,30.3,32,49.3,1.062,29.638,0,62.9,73.3
"428",2014,"North Carolina Central",14,107.276,98.9836,0.684,83.87097,50.8,17.4,24,35.4,67.2,32.6,30.3,59,2.526,10.219,0,60.1,75.3
"429",2014,"North Carolina",6,111.545,93.1571,0.88,71.875,44.6,17.1,19.4,37.8,68.7,33.6,31.3,56.1,1.199,30.458,1,73.9,68.4
"430",2014,"New Mexico St.",13,112.746,102.113,0.746,73.52941,54.8,18.8,16.1,37.9,66.8,36.2,33.1,50.3,1.917,13.619,0,62.4,74
"431",2014,"New Mexico",7,113.782,96.2346,0.861,81.81818,47,15.9,14.9,32.8,71.4,33.7,34.4,61.6,1.938,21.24,0,75.5,73.4
"432",2014,"Nebraska",11,108.82,95.6836,0.805,61.29032,42.8,16.7,19,26.1,71.1,33.9,31.9,42.7,1.362,31.541,0,59.4,73.3
"434",2014,"Milwaukee",15,104.63,104.266,0.5,60.60606,45.5,20,18.5,28.6,68.9,33,31.6,58.1,1.98,13.476,0,49.5,77.8
"435",2014,"Michigan St.",4,118.203,94.4143,0.928,76.47059,33.5,17.1,18.3,33.5,72.3,39.1,33.2,62.4,1.664,32.172,3,85,66
"436",2014,"Michigan",2,122.369,99.5935,0.918,75.75758,35.9,14.8,17.3,28.9,71.1,39.4,32.1,55.5,1.052,36.032,3,82.1,65.4
"437",2014,"Mercer",14,108.78,101.313,0.693,74.19355,37.3,17.8,19.2,32.6,69.9,38.8,30.6,59.4,2.56,11.039,1,58.5,83.5
"438",2014,"Memphis",8,111.252,96.3212,0.855,70.96774,39.9,18.8,20.6,36.1,66.8,33.5,31,60.6,2.054,28.502,1,68.7,70.7
"439",2014,"Massachusetts",6,109.841,95.6537,0.821,75,40,18.8,18.8,34.3,68.4,34.7,31.3,55.7,2.092,24.043,0,64.6,77.4
"440",2014,"Manhattan",13,106.544,96.9886,0.734,78.125,55.9,19.7,21.8,34.8,66.9,36.7,32.7,52.4,1.91,12.444,0,59.4,84
"441",2014,"Louisville",4,119.102,88.5345,0.97,85.29412,40.4,14.9,25.2,37.3,67.1,37.1,29.1,54.2,1.843,21.304,2,87.8,67.3
"442",2014,"Louisiana Lafayette",14,109.939,104.85,0.655,64.51613,44.9,19.1,18.7,36.7,67.9,37.4,33,47.8,1.864,16.225,0,55.2,78.8
"443",2014,"Kentucky",8,116.202,95.0512,0.901,70.58824,53.8,18.1,16.3,42.2,70.1,32.5,31.7,45.7,0.322,29.5,5,79.6,73.1
"444",2014,"Kansas St.",9,108.305,93.9099,0.849,62.5,40.8,18.5,18.8,35,67,33.4,29.4,63.5,1.513,28.247,0,66.4,80.6
"445",2014,"Kansas",2,119.974,94.5731,0.934,72.72727,48.9,19,16.3,37.1,70.9,34.5,35.9,55.2,0.73,35.326,1,86.2,67.2
"446",2014,"Iowa St.",3,116.764,95.8121,0.895,78.78788,37.2,14.4,16.2,28.1,71.7,35.1,33.6,63.4,1.565,31.563,2,76,67.5
"448",2014,"Harvard",12,112.027,94.7095,0.861,86.2069,47.7,17.6,21.4,32.6,71.1,38.9,32.6,58.7,2.089,13.951,1,67.8,74.8
"449",2014,"Gonzaga",8,113.594,92.9558,0.908,81.81818,40.6,16.9,17.8,30.7,70.5,38.7,31.8,54.4,2.039,19.867,1,77.5,81.4
"450",2014,"George Washington",9,110.212,95.9821,0.825,75,46.7,19,19.6,34.8,69,36.9,31.4,55.7,1.769,24.145,0,63.8,72.5
"451",2014,"Florida",1,116.216,88.4056,0.955,94.11765,43.4,17.8,21.9,35.6,71.2,36.8,33.3,54.8,1.993,29.067,4,86.9,66.6
"452",2014,"Eastern Kentucky",15,111.315,108.295,0.586,70.96774,43.7,16,24.2,23,66.6,38.6,36.3,54.9,2.504,12.669,0,50.9,85
"453",2014,"Duke",3,124.75,99.4399,0.949,76.47059,39.3,14.4,18.7,35.1,68.3,39.4,30.5,54.5,1.373,30.879,0,85.1,67.6
"454",2014,"Delaware",13,111.299,105.513,0.63,73.52941,43.2,13.5,16.7,29.5,67.3,34.5,32.1,40.4,2.094,15.098,0,54.9,82.3
"455",2014,"Dayton",11,113.694,100.71,0.795,69.69697,41.3,18.1,19.1,34.9,71.4,37.8,34.3,50.9,1.645,21.556,3,61.9,78.8
"456",2014,"Creighton",3,125.701,100.913,0.935,78.78788,34.3,15.2,15.1,28.1,72.2,42.1,33.6,64.5,2.416,26.415,1,80.2,65.4
"457",2014,"Connecticut",7,111.355,92.2385,0.893,76.47059,38.6,17.6,19.5,31.2,66.6,38.7,32.9,51.6,2.055,27.116,6,73,69
"458",2014,"Colorado",8,107.9,95.4275,0.801,67.64706,48.4,19.4,18.1,34.3,74,32,35.7,49.1,0.938,28.422,0,64.8,77.5
"459",2014,"Coastal Carolina",16,97.0064,102.979,0.355,60,38.9,20.4,18.5,34.8,70.1,32,32.1,40.3,1.413,9.213,0,47.9,81.2
"460",2014,"Cincinnati",5,109.197,90.1186,0.883,81.81818,39.1,17.4,22.5,39.1,67.7,33.5,31.9,53.6,1.945,24.925,0,72.8,73.3
